qubits,state_type,shots,CNN,CNN_Fidelity_Mixing,CNN_Graph_Mixing,CNN_Overlap_Mixing,Physics_Informed_NN,Overlap_minus_PhysInf,FidelityMix_minus_PhysInf,Overlap_minus_FidelityMix,Graph_minus_PhysInf,Graph_minus_Overlap,Graph_minus_FidelityMix,CNN_minus_PhysInf,CNN_minus_Overlap,CNN_minus_FidelityMix,winner
2,mixed,10,0.7071422345637046,0.7345648743702136,0.7244752704818466,0.7509283471018148,0.7252555749401013,0.025672772161713486,0.009309299430112272,0.016363472731601214,-0.0007803044582547214,-0.026453076619968208,-0.010089603888366994,-0.01811334037639667,-0.043786112538110156,-0.02742263980650894,CNN_Overlap_Mixing
2,mixed,20,0.7373615572533377,0.7633796913434631,0.7555558135402227,0.7733261496277849,0.7572538277082455,0.016072321919539445,0.00612586363521761,0.009946458284321835,-0.0016980141680227323,-0.017770336087562177,-0.007823877803240342,-0.019892270454907712,-0.03596459237444716,-0.026018134090125322,CNN_Overlap_Mixing
2,mixed,40,0.7827209886404436,0.8008750326716216,0.7947257931666024,0.7947318315619959,0.7955677455429185,-0.0008359139809226424,0.005307287128703098,-0.00614320110962574,-0.0008419523763161241,-6.038395393481721e-06,-0.006149239505019222,-0.012846756902474943,-0.0120108429215523,-0.01815404403117804,CNN_Fidelity_Mixing
2,mixed,80,0.8309600561966131,0.844733594610429,0.8411527191016689,0.8242234840330027,0.8434920673591859,-0.019268583326183197,0.0012415272512430464,-0.020510110577426244,-0.0023393482575170266,0.01692923506866617,-0.003580875508760073,-0.012532011162572854,0.006736572163610344,-0.0137735384138159,CNN_Fidelity_Mixing
2,mixed,160,0.8766107049079608,0.883764920091354,0.8835550822124025,0.8850241323642192,0.8859684198470991,-0.0009442874828798908,-0.0022034997557450753,0.0012592122728651844,-0.002413337634696533,-0.0014690501518166421,-0.00020983787895145767,-0.009357714939138284,-0.008413427456258393,-0.007154215183393209,Physics_Informed_NN
2,mixed,320,0.9165311171415486,0.9187960945200012,0.9194556988829411,0.9159207738839937,0.9210308546958855,-0.005110080811891793,-0.0022347601758843094,-0.0028753206360074834,-0.0015751558129444287,0.003534924998947364,0.0006596043629398807,-0.004499737554336969,0.000610343257554824,-0.0022649773784526595,Physics_Informed_NN
2,mixed,640,0.9459376796052793,0.9458114213079153,0.9462438471245385,0.9443565768980619,0.9460912922315942,-0.0017347153335323107,-0.000279870923678871,-0.0014548444098534397,0.00015255489294430102,0.0018872702264766117,0.00043242581662317203,-0.0001536126263148585,0.0015811027072174522,0.0001262582973640125,CNN_Graph_Mixing
2,mixed,1280,0.9651591282569256,0.9632299631215735,0.9644724805489686,0.9631331945541797,0.9641621513053101,-0.001028956751130461,-0.0009321881837366375,-9.676856739382345e-05,0.00031032924365848036,0.0013392859947889413,0.0012425174273951178,0.0009969769516154914,0.0020259337027459523,0.0019291651353521289,CNN
2,pure,10,0.5407253097175384,0.5894108812178205,0.5740074266872717,0.593908188238838,0.5462022762422976,0.047705911996540395,0.043208604975522924,0.0044973070210174715,0.027805150444974114,-0.01990076155156628,-0.01540345453054881,-0.005476966524759153,-0.05318287852129955,-0.04868557150028208,CNN_Overlap_Mixing
2,pure,20,0.6866282591102804,0.7197655257741877,0.715740455297303,0.7201965570696687,0.7107808928312399,0.009415664238428767,0.008984632942947823,0.00043103129548094365,0.0049595624660631055,-0.0044561017723656615,-0.004025070476884718,-0.02415263372095955,-0.033568297959388316,-0.03313726666390737,CNN_Overlap_Mixing
2,pure,40,0.8318085048797457,0.8462376082002541,0.8442179792023464,0.8418794493921409,0.8414795905494523,0.00039985884268856076,0.004758017650801749,-0.004358158808113188,0.002738388652894108,0.0023385298102055474,-0.002019628997907641,-0.009671085669706647,-0.010070944512395208,-0.014429103320508396,CNN_Fidelity_Mixing
2,pure,80,0.9191088457585976,0.9197463740199694,0.9201938683754477,0.9132497749225839,0.9209164901985036,-0.007666715275919778,-0.0011701161785342418,-0.006496599097385536,-0.0007226218230559356,0.006944093452863842,0.0004474943554783062,-0.0018076444399059977,0.00585907083601378,-0.0006375282613717559,Physics_Informed_NN
2,pure,160,0.9618409490601313,0.9598095702337353,0.9592504206506741,0.9519822924203752,0.9561157037652751,-0.004133411344899862,0.0036938664684601497,-0.007827277813360012,0.0031347168853990137,0.007268128230298876,-0.0005591495830611359,0.005725245294856185,0.009858656639756047,0.0020313788263960353,CNN
2,pure,320,0.9796815781113921,0.975385488583913,0.9748175920381649,0.9726517610669462,0.9755301575291833,-0.0028783964622370872,-0.0001446689452702099,-0.0027337275169668773,-0.000712565491018391,0.0021658309712186963,-0.000567896545748181,0.0041514205822088535,0.007029817044445941,0.004296089527479063,CNN
2,pure,640,0.9888636584026584,0.9843863752485809,0.9856051746526047,0.9836256779616047,0.98446943812111,-0.0008437601595052691,-8.306287252912714e-05,-0.0007606972869761419,0.00113573653149468,0.001979496690999949,0.001218799404023807,0.0043942202815484555,0.0052379804410537245,0.004477283154077583,CNN
2,pure,1280,0.9906685017646919,0.992055238949139,0.9878905171416656,0.9883636427674269,0.9919340573208523,-0.0035704145534253273,0.0001211816282867817,-0.003691596181712109,-0.004043540179186622,-0.0004731256257612948,-0.004164721807473404,-0.0012655555561603693,0.002304858997264958,-0.001386737184447151,CNN_Fidelity_Mixing
3,mixed,10,,,,,0.6928295544568043,,,,,,,,,,Physics_Informed_NN
3,mixed,20,,,,,0.6994015772290091,,,,,,,,,,Physics_Informed_NN
3,mixed,40,,,,,0.7129902587780261,,,,,,,,,,Physics_Informed_NN
